

-- Submitter: ui.indiacms.res.in : <144.16.111.6:9653> : ui.indiacms.res.in
 ID      OWNER            SUBMITTED     RUN_TIME ST PRI SIZE CMD               
1985223.0   pdas           12/29 17:56   0+23:01:06 R  0   439.5 Job_data_SingleEle
1985258.0   pdas           12/29 17:57   0+22:14:43 R  0   439.5 Job_flip_DoubleEG_
1985265.0   pdas           12/29 17:57   0+22:10:40 R  0   439.5 Job_flip_SingleEle
1985267.0   pdas           12/29 17:57   0+22:09:19 R  0   439.5 Job_flip_SingleEle
1985268.0   pdas           12/29 17:57   0+22:08:59 R  0   439.5 Job_flip_SingleEle
1985270.0   pdas           12/29 17:57   0+22:08:38 R  0   439.5 Job_flip_SingleEle
1985271.0   pdas           12/29 17:57   0+22:08:18 R  0   439.5 Job_flip_SingleEle
1985303.0   pdas           12/30 12:51   0+04:02:36 R  0   415.0 Job_fake_DoubleMuo
1985304.0   pdas           12/30 12:51   0+04:02:35 R  0   415.0 Job_fake_DoubleMuo
1985305.0   pdas           12/30 12:51   0+04:02:35 R  0   415.0 Job_fake_DoubleMuo
1985306.0   pdas           12/30 12:51   0+04:02:34 R  0   415.0 Job_fake_DoubleMuo
1985307.0   pdas           12/30 12:51   0+04:02:34 R  0   415.0 Job_fake_DoubleMuo
1985308.0   pdas           12/30 12:51   0+04:02:34 R  0   415.0 Job_fake_DoubleMuo
1985309.0   pdas           12/30 12:51   0+04:02:34 R  0   415.0 Job_fake_DoubleMuo
1985310.0   pdas           12/30 12:51   0+04:02:30 R  0   293.0 Job_fake_DoubleEG_
1985311.0   pdas           12/30 12:51   0+04:02:34 R  0   439.5 Job_fake_DoubleEG_
1985312.0   pdas           12/30 12:51   0+04:02:34 R  0   439.5 Job_fake_DoubleEG_
1985313.0   pdas           12/30 12:51   0+04:02:30 R  0   439.5 Job_fake_DoubleEG_
1985314.0   pdas           12/30 12:51   0+04:02:33 R  0   415.0 Job_fake_DoubleEG_
1985315.0   pdas           12/30 12:51   0+04:02:30 R  0   268.6 Job_fake_DoubleEG_
